# x_m,y_m,w_tr_right_m,w_tr_left_m
5.5700,4.7100,0.6371,0.6371
5.5800,4.7200,0.6292,0.6292
5.5900,4.7200,0.6312,0.6312
5.6000,4.7200,0.6332,0.6332
5.6100,4.7200,0.6351,0.6351
5.6200,4.7300,0.6291,0.6291
5.6300,4.7300,0.6312,0.6312
5.6400,4.7300,0.6332,0.6332
5.6500,4.7400,0.6251,0.6251
5.6600,4.7400,0.6291,0.6291
5.6700,4.7400,0.6351,0.6351
5.6800,4.7500,0.6291,0.6291
5.6900,4.7500,0.6351,0.6351
5.7000,4.7500,0.6371,0.6371
5.7100,4.7500,0.6431,0.6431
5.7200,4.7600,0.6371,0.6371
5.7300,4.7600,0.6431,0.6431
5.7400,4.7700,0.6351,0.6351
5.7500,4.7700,0.6371,0.6371
5.7600,4.7800,0.6332,0.6332
5.7700,4.7800,0.6351,0.6351
5.7800,4.7800,0.6371,0.6371
5.7900,4.7900,0.6332,0.6332
5.8000,4.7900,0.6351,0.6351
5.8100,4.7900,0.6371,0.6371
5.8200,4.8000,0.6292,0.6292
5.8300,4.8000,0.6312,0.6312
5.8400,4.8100,0.6232,0.6232
5.8500,4.8100,0.6251,0.6251
5.8600,4.8100,0.6291,0.6291
5.8700,4.8200,0.6212,0.6212
5.8800,4.8200,0.6232,0.6232
5.8900,4.8300,0.6151,0.6151
5.9000,4.8300,0.6212,0.6212
5.9100,4.8400,0.6132,0.6132
5.9200,4.8400,0.6151,0.6151
5.9300,4.8500,0.6132,0.6132
5.9400,4.8500,0.6151,0.6151
5.9500,4.8600,0.6132,0.6132
5.9600,4.8600,0.6192,0.6192
5.9700,4.8700,0.6173,0.6173
5.9800,4.8700,0.6233,0.6233
5.9900,4.8800,0.6214,0.6214
6.0000,4.8800,0.6274,0.6274
6.0100,4.8900,0.6255,0.6255
6.0200,4.8900,0.6315,0.6315
6.0300,4.8900,0.6371,0.6371
6.0400,4.8900,0.6431,0.6431
6.0500,4.9000,0.6412,0.6412
6.0600,4.9000,0.6412,0.6412
6.0700,4.9100,0.6431,0.6431
6.0800,4.9100,0.6371,0.6371
6.0900,4.9100,0.6351,0.6351
6.1000,4.9200,0.6371,0.6371
6.1100,4.9200,0.6332,0.6332
6.1200,4.9300,0.6352,0.6352
6.1300,4.9300,0.6291,0.6291
6.1400,4.9400,0.6351,0.6351
6.1500,4.9500,0.6371,0.6371
6.1600,4.9600,0.6412,0.6412
6.1700,4.9700,0.6431,0.6431
6.1800,4.9700,0.6371,0.6371
6.1900,4.9800,0.6431,0.6431
6.2000,4.9900,0.6471,0.6471
6.2100,5.0000,0.6455,0.6455
6.2200,5.0000,0.6471,0.6471
6.2300,5.0100,0.6496,0.6496
6.2400,5.0200,0.6477,0.6477
6.2500,5.0300,0.6457,0.6457
6.2600,5.0300,0.6518,0.6518
6.2700,5.0400,0.6498,0.6498
6.2800,5.0500,0.6479,0.6479
6.2900,5.0600,0.6459,0.6459
6.3000,5.0700,0.6440,0.6440
6.3100,5.0800,0.6440,0.6440
6.3200,5.0900,0.6440,0.6440
6.3300,5.1000,0.6440,0.6440
6.3400,5.1100,0.6440,0.6440
6.3500,5.1200,0.6440,0.6440
6.3600,5.1300,0.6440,0.6440
6.3700,5.1400,0.6431,0.6431
6.3800,5.1500,0.6412,0.6412
6.3900,5.1600,0.6393,0.6393
6.4000,5.1700,0.6373,0.6373
6.4100,5.1800,0.6354,0.6354
6.4100,5.1900,0.6380,0.6380
6.4200,5.2000,0.6395,0.6395
6.4300,5.2100,0.6375,0.6375
6.4400,5.2200,0.6356,0.6356
6.4400,5.2300,0.6378,0.6378
6.4500,5.2400,0.6397,0.6397
6.4600,5.2500,0.6378,0.6378
6.4700,5.2600,0.6358,0.6358
6.4700,5.2700,0.6375,0.6375
6.4800,5.2800,0.6380,0.6380
6.4900,5.2900,0.6380,0.6380
6.5000,5.3000,0.6380,0.6380
6.5100,5.3100,0.6378,0.6378
6.5200,5.3200,0.6358,0.6358
6.5300,5.3300,0.6339,0.6339
6.5300,5.3400,0.6339,0.6339
6.5400,5.3500,0.6358,0.6358
6.5500,5.3600,0.6378,0.6378
6.5600,5.3700,0.6380,0.6380
6.5700,5.3800,0.6380,0.6380
6.5800,5.3900,0.6380,0.6380
6.5900,5.4000,0.6375,0.6375
6.5900,5.4100,0.6358,0.6358
6.6000,5.4200,0.6378,0.6378
6.6100,5.4300,0.6397,0.6397
6.6200,5.4400,0.6378,0.6378
6.6300,5.4500,0.6358,0.6358
6.6300,5.4600,0.6375,0.6375
6.6400,5.4700,0.6380,0.6380
6.6500,5.4800,0.6380,0.6380
6.6600,5.4900,0.6380,0.6380
6.6700,5.5000,0.6380,0.6380
6.6800,5.5100,0.6380,0.6380
6.6900,5.5200,0.6380,0.6380
6.7000,5.5200,0.6339,0.6339
6.7100,5.5300,0.6358,0.6358
6.7200,5.5400,0.6378,0.6378
6.7300,5.5500,0.6397,0.6397
6.7400,5.5500,0.6337,0.6337
6.7500,5.5600,0.6356,0.6356
6.7600,5.5700,0.6375,0.6375
6.7700,5.5800,0.6371,0.6371
6.7800,5.5900,0.6351,0.6351
6.7900,5.6000,0.6291,0.6291
6.8000,5.6000,0.6352,0.6352
6.8100,5.6100,0.6332,0.6332
6.8200,5.6200,0.6313,0.6313
6.8300,5.6300,0.6293,0.6293
6.8400,5.6400,0.6274,0.6274
6.8500,5.6400,0.6334,0.6334
6.8600,5.6500,0.6315,0.6315
6.8700,5.6500,0.6375,0.6375
6.8800,5.6600,0.6356,0.6356
6.8900,5.6700,0.6337,0.6337
6.9000,5.6700,0.6397,0.6397
6.9100,5.6800,0.6371,0.6371
6.9200,5.6900,0.6352,0.6352
6.9300,5.6900,0.6375,0.6375
6.9400,5.7000,0.6393,0.6393
6.9500,5.7000,0.6334,0.6334
6.9600,5.7100,0.6354,0.6354
6.9700,5.7200,0.6373,0.6373
6.9800,5.7300,0.6393,0.6393
6.9900,5.7400,0.6373,0.6373
7.0000,5.7400,0.6352,0.6352
7.0100,5.7500,0.6371,0.6371
7.0200,5.7600,0.6393,0.6393
7.0300,5.7700,0.6375,0.6375
7.0400,5.7800,0.6356,0.6356
7.0500,5.7900,0.6337,0.6337
7.0600,5.7900,0.6380,0.6380
7.0700,5.8000,0.6378,0.6378
7.0800,5.8000,0.6339,0.6339
7.0900,5.8100,0.6358,0.6358
7.1000,5.8200,0.6378,0.6378
7.1100,5.8200,0.6317,0.6317
7.1200,5.8300,0.6337,0.6337
7.1300,5.8400,0.6356,0.6356
7.1400,5.8400,0.6296,0.6296
7.1500,5.8500,0.6315,0.6315
7.1600,5.8500,0.6255,0.6255
7.1700,5.8600,0.6274,0.6274
7.1800,5.8600,0.6214,0.6214
7.1900,5.8700,0.6233,0.6233
7.2000,5.8800,0.6253,0.6253
7.2100,5.8800,0.6192,0.6192
7.2200,5.8800,0.6132,0.6132
7.2300,5.8900,0.6151,0.6151
7.2400,5.8900,0.6132,0.6132
7.2500,5.8900,0.6072,0.6072
7.2600,5.9000,0.6132,0.6132
7.2700,5.9100,0.6151,0.6151
7.2800,5.9100,0.6113,0.6113
7.2900,5.9100,0.6052,0.6052
7.3000,5.9200,0.6072,0.6072
7.3100,5.9200,0.6032,0.6032
7.3200,5.9300,0.6072,0.6072
7.3300,5.9300,0.6032,0.6032
7.3400,5.9400,0.6112,0.6112
7.3500,5.9400,0.6092,0.6092
7.3600,5.9400,0.6073,0.6073
7.3700,5.9500,0.6151,0.6151
7.3800,5.9500,0.6132,0.6132
7.3900,5.9500,0.6112,0.6112
7.4000,5.9600,0.6151,0.6151
7.4100,5.9600,0.6132,0.6132
7.4200,5.9600,0.6112,0.6112
7.4300,5.9600,0.6092,0.6092
7.4400,5.9700,0.6173,0.6173
7.4500,5.9700,0.6153,0.6153
7.4600,5.9700,0.6133,0.6133
7.4700,5.9800,0.6213,0.6213
7.4800,5.9800,0.6194,0.6194
7.4900,5.9900,0.6274,0.6274
7.5000,5.9900,0.6254,0.6254
7.5100,5.9900,0.6235,0.6235
7.5200,5.9900,0.6215,0.6215
7.5300,5.9900,0.6195,0.6195
7.5400,6.0000,0.6276,0.6276
7.5500,6.0000,0.6256,0.6256
7.5600,6.0000,0.6236,0.6236
7.5700,6.0100,0.6317,0.6317
7.5800,6.0100,0.6297,0.6297
7.5900,6.0200,0.6377,0.6377
7.6000,6.0200,0.6358,0.6358
7.6100,6.0200,0.6338,0.6338
7.6200,6.0200,0.6318,0.6318
7.6300,6.0200,0.6298,0.6298
7.6400,6.0300,0.6379,0.6379
7.6500,6.0300,0.6359,0.6359
7.6600,6.0300,0.6339,0.6339
7.6700,6.0300,0.6320,0.6320
7.6800,6.0300,0.6300,0.6300
7.6900,6.0300,0.6300,0.6300
7.7000,6.0400,0.6400,0.6400
7.7100,6.0400,0.6400,0.6400
7.7200,6.0400,0.6398,0.6398
7.7300,6.0400,0.6379,0.6379
7.7400,6.0400,0.6359,0.6359
7.7500,6.0500,0.6439,0.6439
7.7600,6.0500,0.6420,0.6420
7.7700,6.0500,0.6400,0.6400
7.7800,6.0500,0.6400,0.6400
7.7900,6.0500,0.6398,0.6398
7.8000,6.0500,0.6379,0.6379
7.8100,6.0500,0.6359,0.6359
7.8200,6.0500,0.6339,0.6339
7.8300,6.0500,0.6320,0.6320
7.8400,6.0600,0.6400,0.6400
7.8500,6.0600,0.6398,0.6398
7.8600,6.0600,0.6379,0.6379
7.8700,6.0600,0.6359,0.6359
7.8800,6.0700,0.6439,0.6439
7.8900,6.0700,0.6420,0.6420
7.9000,6.0700,0.6400,0.6400
7.9100,6.0700,0.6400,0.6400
7.9200,6.0800,0.6400,0.6400
7.9300,6.0800,0.6420,0.6420
7.9400,6.0800,0.6439,0.6439
7.9500,6.0900,0.6359,0.6359
7.9600,6.0900,0.6379,0.6379
7.9700,6.0900,0.6398,0.6398
7.9800,6.0900,0.6400,0.6400
7.9900,6.0900,0.6420,0.6420
8.0000,6.1000,0.6339,0.6339
8.0100,6.1000,0.6359,0.6359
8.0200,6.1000,0.6379,0.6379
