# x_m,y_m,w_tr_right_m,w_tr_left_m
11.8800,5.1300,0.6400,0.6400
11.8800,5.1200,0.6400,0.6400
11.8800,5.1100,0.6400,0.6400
11.8800,5.1000,0.6400,0.6400
11.8800,5.0900,0.6400,0.6400
11.8800,5.0800,0.6400,0.6400
11.8800,5.0700,0.6400,0.6400
11.8800,5.0600,0.6400,0.6400
11.8800,5.0500,0.6400,0.6400
11.8700,5.0400,0.6300,0.6300
11.8700,5.0300,0.6298,0.6298
11.8700,5.0200,0.6279,0.6279
11.8700,5.0100,0.6259,0.6259
11.8700,5.0000,0.6239,0.6239
11.8700,4.9900,0.6220,0.6220
11.8700,4.9800,0.6200,0.6200
11.8700,4.9700,0.6200,0.6200
11.8600,4.9600,0.6100,0.6100
11.8600,4.9500,0.6100,0.6100
11.8600,4.9400,0.6100,0.6100
11.8600,4.9300,0.6100,0.6100
11.8600,4.9200,0.6100,0.6100
11.8600,4.9100,0.6100,0.6100
11.8600,4.9000,0.6100,0.6100
11.8600,4.8900,0.6100,0.6100
11.8600,4.8800,0.6100,0.6100
11.8500,4.8700,0.6000,0.6000
11.8500,4.8600,0.6000,0.6000
11.8500,4.8500,0.6020,0.6020
11.8500,4.8400,0.6039,0.6039
11.8500,4.8300,0.6059,0.6059
11.8500,4.8200,0.6079,0.6079
11.8500,4.8100,0.6098,0.6098
11.8400,4.8000,0.6000,0.6000
11.8400,4.7900,0.6020,0.6020
11.8400,4.7800,0.6039,0.6039
11.8400,4.7700,0.6059,0.6059
11.8400,4.7600,0.6079,0.6079
11.8400,4.7500,0.6098,0.6098
11.8400,4.7400,0.6118,0.6118
11.8300,4.7300,0.6038,0.6038
11.8300,4.7200,0.6058,0.6058
11.8300,4.7100,0.6077,0.6077
11.8300,4.7000,0.6097,0.6097
11.8300,4.6900,0.6117,0.6117
11.8300,4.6800,0.6136,0.6136
11.8300,4.6700,0.6156,0.6156
11.8200,4.6600,0.6076,0.6076
11.8200,4.6500,0.6095,0.6095
11.8200,4.6400,0.6115,0.6115
11.8200,4.6300,0.6135,0.6135
11.8200,4.6200,0.6154,0.6154
11.8100,4.6100,0.6074,0.6074
11.8100,4.6000,0.6094,0.6094
11.8100,4.5900,0.6113,0.6113
11.8100,4.5800,0.6133,0.6133
11.8100,4.5700,0.6153,0.6153
11.8100,4.5600,0.6173,0.6173
11.8000,4.5500,0.6092,0.6092
11.8000,4.5400,0.6112,0.6112
11.8000,4.5300,0.6132,0.6132
11.8000,4.5200,0.6151,0.6151
11.8000,4.5100,0.6212,0.6212
11.8000,4.5000,0.6251,0.6251
11.7900,4.4900,0.6212,0.6212
11.7900,4.4800,0.6251,0.6251
11.7900,4.4700,0.6291,0.6291
11.7900,4.4600,0.6352,0.6352
11.7900,4.4500,0.6412,0.6412
11.7800,4.4400,0.6371,0.6371
11.7800,4.4300,0.6431,0.6431
11.7800,4.4200,0.6492,0.6492
11.7800,4.4100,0.6552,0.6552
11.7800,4.4000,0.6591,0.6591
11.7800,4.3900,0.6651,0.6651
11.7700,4.3800,0.6632,0.6632
11.7700,4.3700,0.6691,0.6691
11.7700,4.3600,0.6731,0.6731
11.7700,4.3500,0.6691,0.6691
11.7600,4.3400,0.6731,0.6731
11.7600,4.3300,0.6691,0.6691
11.7600,4.3200,0.6671,0.6671
11.7500,4.3100,0.6731,0.6731
11.7500,4.3000,0.6691,0.6691
11.7500,4.2900,0.6671,0.6671
11.7400,4.2800,0.6731,0.6731
11.7400,4.2700,0.6691,0.6691
11.7300,4.2600,0.6731,0.6731
11.7200,4.2500,0.6791,0.6791
11.7200,4.2400,0.6731,0.6731
11.7100,4.2300,0.6791,0.6791
11.7000,4.2200,0.6791,0.6791
11.7000,4.2100,0.6791,0.6791
11.6900,4.2000,0.6791,0.6791
11.6800,4.1900,0.6731,0.6731
11.6700,4.1800,0.6711,0.6711
11.6600,4.1700,0.6692,0.6692
11.6500,4.1600,0.6673,0.6673
11.6500,4.1500,0.6733,0.6733
11.6400,4.1400,0.6713,0.6713
11.6400,4.1300,0.6774,0.6774
11.6300,4.1200,0.6754,0.6754
11.6200,4.1100,0.6735,0.6735
11.6100,4.1000,0.6716,0.6716
11.6000,4.0900,0.6696,0.6696
11.5900,4.0800,0.6677,0.6677
11.5900,4.0700,0.6737,0.6737
11.5800,4.0600,0.6718,0.6718
11.5700,4.0500,0.6698,0.6698
11.5600,4.0400,0.6679,0.6679
11.5500,4.0300,0.6660,0.6660
11.5500,4.0200,0.6591,0.6591
11.5400,4.0100,0.6571,0.6571
11.5300,4.0100,0.6632,0.6632
11.5200,4.0000,0.6591,0.6591
11.5100,3.9900,0.6571,0.6571
11.5000,3.9800,0.6511,0.6511
11.4900,3.9800,0.6571,0.6571
11.4800,3.9700,0.6511,0.6511
11.4700,3.9700,0.6551,0.6551
11.4600,3.9600,0.6471,0.6471
11.4500,3.9600,0.6511,0.6511
11.4400,3.9500,0.6451,0.6451
11.4300,3.9400,0.6371,0.6371
11.4200,3.9300,0.6351,0.6351
11.4100,3.9300,0.6371,0.6371
11.4000,3.9200,0.6351,0.6351
11.3900,3.9200,0.6371,0.6371
11.3800,3.9100,0.6351,0.6351
11.3700,3.9100,0.6371,0.6371
11.3600,3.9100,0.6431,0.6431
11.3500,3.9000,0.6351,0.6351
11.3400,3.8900,0.6291,0.6291
11.3300,3.8900,0.6352,0.6352
11.3200,3.8900,0.6371,0.6371
11.3100,3.8800,0.6371,0.6371
11.3000,3.8800,0.6371,0.6371
11.2900,3.8700,0.6371,0.6371
11.2800,3.8700,0.6412,0.6412
11.2700,3.8700,0.6352,0.6352
11.2600,3.8600,0.6371,0.6371
11.2500,3.8600,0.6332,0.6332
11.2400,3.8600,0.6272,0.6272
11.2300,3.8500,0.6291,0.6291
11.2200,3.8500,0.6251,0.6251
11.2100,3.8500,0.6212,0.6212
11.2000,3.8400,0.6251,0.6251
11.1900,3.8400,0.6232,0.6232
11.1800,3.8400,0.6212,0.6212
11.1700,3.8300,0.6251,0.6251
11.1600,3.8300,0.6232,0.6232
11.1500,3.8300,0.6212,0.6212
11.1400,3.8200,0.6251,0.6251
11.1300,3.8200,0.6232,0.6232
11.1200,3.8100,0.6291,0.6291
