# x_m,y_m,w_tr_right_m,w_tr_left_m
8.0400,6.7200,0.7100,0.7100
8.0300,6.7200,0.7098,0.7098
8.0200,6.7200,0.7079,0.7079
8.0100,6.7200,0.7059,0.7059
8.0000,6.7200,0.7039,0.7039
7.9900,6.7200,0.7020,0.7020
7.9800,6.7200,0.7000,0.7000
7.9700,6.7200,0.7000,0.7000
7.9600,6.7200,0.7000,0.7000
7.9500,6.7200,0.6998,0.6998
7.9400,6.7200,0.6979,0.6979
7.9300,6.7200,0.6959,0.6959
7.9200,6.7200,0.6939,0.6939
7.9100,6.7200,0.6920,0.6920
7.9000,6.7200,0.6900,0.6900
7.8900,6.7200,0.6900,0.6900
7.8800,6.7200,0.6900,0.6900
7.8700,6.7200,0.6900,0.6900
7.8600,6.7200,0.6900,0.6900
7.8500,6.7200,0.6900,0.6900
7.8400,6.7200,0.6900,0.6900
7.8300,6.7200,0.6900,0.6900
7.8200,6.7200,0.6900,0.6900
7.8100,6.7200,0.6900,0.6900
7.8000,6.7200,0.6900,0.6900
7.7900,6.7200,0.6900,0.6900
7.7800,6.7200,0.6900,0.6900
7.7700,6.7200,0.6900,0.6900
7.7600,6.7200,0.6900,0.6900
7.7500,6.7200,0.6900,0.6900
7.7400,6.7200,0.6900,0.6900
7.7300,6.7200,0.6900,0.6900
7.7200,6.7200,0.6900,0.6900
7.7100,6.7200,0.6900,0.6900
7.7000,6.7200,0.6900,0.6900
7.6900,6.7200,0.6900,0.6900
7.6800,6.7200,0.6900,0.6900
7.6700,6.7200,0.6900,0.6900
7.6600,6.7200,0.6900,0.6900
7.6500,6.7200,0.6900,0.6900
7.6400,6.7200,0.6900,0.6900
7.6300,6.7200,0.6900,0.6900
7.6200,6.7200,0.6900,0.6900
7.6100,6.7200,0.6900,0.6900
7.6000,6.7200,0.6900,0.6900
7.5900,6.7200,0.6900,0.6900
7.5800,6.7200,0.6900,0.6900
7.5700,6.7200,0.6900,0.6900
7.5600,6.7200,0.6900,0.6900
7.5500,6.7200,0.6900,0.6900
7.5400,6.7200,0.6900,0.6900
7.5300,6.7200,0.6900,0.6900
7.5200,6.7200,0.6900,0.6900
7.5100,6.7200,0.6900,0.6900
7.5000,6.7200,0.6900,0.6900
7.4900,6.7200,0.6900,0.6900
7.4800,6.7200,0.6900,0.6900
7.4700,6.7300,0.7000,0.7000
7.4600,6.7300,0.7000,0.7000
7.4500,6.7300,0.7000,0.7000
7.4400,6.7300,0.7000,0.7000
7.4300,6.7300,0.7000,0.7000
7.4200,6.7400,0.7100,0.7100
7.4100,6.7400,0.7100,0.7100
7.4000,6.7400,0.7100,0.7100
7.3900,6.7400,0.7100,0.7100
7.3800,6.7400,0.7100,0.7100
7.3700,6.7300,0.7000,0.7000
7.3600,6.7300,0.7000,0.7000
7.3500,6.7300,0.7000,0.7000
7.3400,6.7300,0.7000,0.7000
7.3300,6.7300,0.7000,0.7000
7.3200,6.7300,0.7000,0.7000
7.3100,6.7300,0.7000,0.7000
7.3000,6.7200,0.6920,0.6920
7.2900,6.7200,0.6939,0.6939
7.2800,6.7200,0.6959,0.6959
7.2700,6.7200,0.6979,0.6979
7.2600,6.7200,0.6998,0.6998
7.2500,6.7200,0.7000,0.7000
7.2400,6.7100,0.6900,0.6900
7.2300,6.7100,0.6900,0.6900
7.2200,6.7100,0.6900,0.6900
7.2100,6.7100,0.6900,0.6900
7.2000,6.7100,0.6900,0.6900
7.1900,6.7100,0.6900,0.6900
7.1800,6.7100,0.6900,0.6900
7.1700,6.7000,0.6800,0.6800
7.1600,6.7000,0.6800,0.6800
7.1500,6.7000,0.6800,0.6800
7.1400,6.7000,0.6800,0.6800
7.1300,6.7000,0.6800,0.6800
7.1200,6.7000,0.6800,0.6800
7.1100,6.6900,0.6700,0.6700
7.1000,6.6900,0.6700,0.6700
7.0900,6.6900,0.6700,0.6700
7.0800,6.6900,0.6700,0.6700
7.0700,6.6900,0.6700,0.6700
7.0600,6.6800,0.6600,0.6600
7.0500,6.6800,0.6600,0.6600
7.0400,6.6800,0.6600,0.6600
7.0300,6.6800,0.6600,0.6600
7.0200,6.6800,0.6600,0.6600
7.0100,6.6800,0.6600,0.6600
7.0000,6.6700,0.6500,0.6500
6.9900,6.6700,0.6500,0.6500
6.9800,6.6700,0.6500,0.6500
6.9700,6.6700,0.6500,0.6500
6.9600,6.6700,0.6500,0.6500
6.9500,6.6600,0.6400,0.6400
6.9400,6.6600,0.6400,0.6400
6.9300,6.6600,0.6395,0.6395
6.9200,6.6600,0.6376,0.6376
6.9100,6.6500,0.6256,0.6256
6.9000,6.6500,0.6236,0.6236
6.8900,6.6500,0.6217,0.6217
6.8800,6.6500,0.6197,0.6197
6.8700,6.6500,0.6177,0.6177
6.8600,6.6400,0.6058,0.6058
6.8500,6.6400,0.6038,0.6038
6.8400,6.6400,0.6018,0.6018
6.8300,6.6400,0.5998,0.5998
6.8200,6.6400,0.5979,0.5979
6.8100,6.6300,0.5859,0.5859
6.8000,6.6300,0.5839,0.5839
6.7900,6.6300,0.5820,0.5820
6.7800,6.6300,0.5800,0.5800
6.7700,6.6200,0.5720,0.5720
6.7600,6.6200,0.5739,0.5739
6.7500,6.6200,0.5759,0.5759
6.7400,6.6200,0.5779,0.5779
6.7300,6.6200,0.5798,0.5798
6.7200,6.6100,0.5718,0.5718
6.7100,6.6100,0.5738,0.5738
6.7000,6.6100,0.5758,0.5758
6.6900,6.6100,0.5777,0.5777
6.6800,6.6000,0.5697,0.5697
6.6700,6.6000,0.5717,0.5717
6.6600,6.6000,0.5736,0.5736
6.6500,6.6000,0.5756,0.5756
6.6400,6.5900,0.5676,0.5676
6.6300,6.5900,0.5695,0.5695
6.6200,6.5900,0.5715,0.5715
6.6100,6.5900,0.5735,0.5735
6.6000,6.5900,0.5754,0.5754
6.5900,6.5800,0.5674,0.5674
6.5800,6.5800,0.5694,0.5694
6.5700,6.5800,0.5713,0.5713
6.5600,6.5700,0.5633,0.5633
6.5500,6.5700,0.5653,0.5653
6.5400,6.5700,0.5673,0.5673
6.5300,6.5700,0.5692,0.5692
6.5200,6.5600,0.5632,0.5632
6.5100,6.5600,0.5692,0.5692
6.5000,6.5600,0.5712,0.5712
6.4900,6.5600,0.5772,0.5772
6.4800,6.5600,0.5833,0.5833
6.4700,6.5600,0.5893,0.5893
6.4600,6.5600,0.5953,0.5953
6.4500,6.5600,0.6013,0.6013
6.4400,6.5600,0.6072,0.6072
6.4300,6.5600,0.6132,0.6132
6.4200,6.5600,0.6192,0.6192
6.4100,6.5600,0.6253,0.6253
6.4000,6.5600,0.6313,0.6313
6.3900,6.5600,0.6371,0.6371
6.3800,6.5600,0.6351,0.6351
6.3700,6.5600,0.6291,0.6291
6.3600,6.5600,0.6233,0.6233
6.3500,6.5500,0.6253,0.6253
6.3400,6.5500,0.6192,0.6192
6.3300,6.5500,0.6132,0.6132
6.3200,6.5500,0.6072,0.6072
6.3100,6.5500,0.6032,0.6032
6.3000,6.5500,0.5973,0.5973
6.2900,6.5500,0.5912,0.5912
6.2800,6.5500,0.5852,0.5852
6.2700,6.5400,0.5912,0.5912
6.2600,6.5400,0.5892,0.5892
6.2500,6.5300,0.5973,0.5973
6.2400,6.5200,0.6053,0.6053
6.2300,6.5200,0.6033,0.6033
6.2200,6.5200,0.6013,0.6013
6.2100,6.5100,0.6094,0.6094
6.2000,6.5000,0.6174,0.6174
6.1900,6.5000,0.6154,0.6154
6.1800,6.4900,0.6235,0.6235
6.1700,6.4900,0.6215,0.6215
6.1600,6.4800,0.6295,0.6295
6.1500,6.4800,0.6276,0.6276
6.1400,6.4700,0.6356,0.6356
6.1300,6.4700,0.6336,0.6336
6.1200,6.4600,0.6417,0.6417
6.1100,6.4600,0.6397,0.6397
6.1000,6.4500,0.6477,0.6477
6.0900,6.4500,0.6458,0.6458
6.0800,6.4400,0.6512,0.6512
6.0700,6.4400,0.6518,0.6518
6.0600,6.4400,0.6498,0.6498
6.0500,6.4300,0.6471,0.6471
6.0400,6.4300,0.6492,0.6492
6.0300,6.4300,0.6512,0.6512
6.0200,6.4200,0.6432,0.6432
6.0100,6.4200,0.6451,0.6451
6.0000,6.4100,0.6371,0.6371
5.9900,6.4100,0.6415,0.6415
5.9800,6.4000,0.6335,0.6335
5.9700,6.4000,0.6354,0.6354
5.9600,6.3900,0.6274,0.6274
5.9500,6.3900,0.6294,0.6294
5.9400,6.3900,0.6313,0.6313
5.9300,6.3800,0.6233,0.6233
5.9200,6.3700,0.6153,0.6153
5.9100,6.3700,0.6173,0.6173
5.9000,6.3700,0.6192,0.6192
5.8900,6.3600,0.6112,0.6112
5.8800,6.3600,0.6132,0.6132
5.8700,6.3500,0.6072,0.6072
5.8600,6.3500,0.6132,0.6132
5.8500,6.3400,0.6113,0.6113
5.8400,6.3400,0.6173,0.6173
5.8300,6.3400,0.6233,0.6233
5.8200,6.3300,0.6214,0.6214
5.8100,6.3300,0.6274,0.6274
5.8000,6.3300,0.6334,0.6334
5.7900,6.3200,0.6315,0.6315
5.7800,6.3200,0.6375,0.6375
5.7700,6.3100,0.6356,0.6356
5.7600,6.3100,0.6416,0.6416
5.7500,6.3000,0.6397,0.6397
5.7400,6.3000,0.6457,0.6457
